"","UID","SAMPLE_TYPE","TRANSECT","POINT","PARAMETER","RESULT","FLAG","IND","ACTIVE","OPERATION","INSERTION","DEPRECATION","REASON","SITE_ID","SIZE","CHAR","NUM","PARAMRES"
"8791",11630,"BANKW","E","LF","ANGLE","42",NA,213855,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","42",42,42
"8806",11630,"BANKW","F","LF","ANGLE","54",NA,213905,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","54",54,54
"8812",11630,"BANKW","A","RT","ANGLE","30",NA,213656,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","30",30,30
"8838",11630,"BANKW","J","RT","ANGLE","18",NA,214106,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","18",18,18
"8843",11630,"BANKW","D","RT","ANGLE","30",NA,213806,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","30",30,30
"8856",11630,"BANKW","A","LF","ANGLE","46",NA,213655,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","46",46,46
"8968",11630,"BANKW","B","LF","ANGLE","116",NA,213705,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","116",116,116
"8998",11630,"BANKW","J","LF","ANGLE","30",NA,214105,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","30",30,30
"9102",11630,"BANKW","E","RT","ANGLE","18",NA,213856,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","18",18,18
"9117",11630,"BANKW","I","LF","ANGLE","20",NA,214055,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","20",20,20
"9126",11630,"BANKW","K","LF","ANGLE","22",NA,214155,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","22",22,22
"9275",11630,"BANKW","H","RT","ANGLE","2",NA,214006,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","2",2,2
"9276",11630,"BANKW","H","LF","ANGLE","24",NA,214005,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","24",24,24
"9334",11630,"BANKW","B","RT","ANGLE","48",NA,213706,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","48",48,48
"9361",11630,"BANKW","I","RT","ANGLE","28",NA,214056,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","28",28,28
"9462",11630,"BANKW","D","LF","ANGLE","80",NA,213805,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","80",80,80
"9465",11630,"BANKW","C","RT","ANGLE","28",NA,213756,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","28",28,28
"9475",11630,"BANKW","G","LF","ANGLE","140",NA,213955,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","140",140,140
"9491",11630,"BANKW","K","RT","ANGLE","12",NA,214156,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","12",12,12
